Year,Inflation Rate,Annual Change,Value of dollar
1981,12.4716,,
1982,10.2403,-2.23,
1983,8.7711,-1.47,
1984,8.1164,-0.65,
1985,6.8568,-1.26,
1986,5.8227,-1.03,
1987,5.7565,-0.07,
1988,7.1461,1.39,
1989,6.9991,-0.15,
1990,8.1274,1.13,
1991,8.9985,0.87,
1992,7.7139,-1.28,
1993,7.5054,-0.21,
1994,10.3172,2.81,
1995,9.1539,-1.16,
1996,6.551,-2.6,
1997,5.5723,-0.98,
1998,5.1102,-0.46,
1999,3.0795,-2.03,
2000,3.4945,0.42,
2001,3.8383,0.34,
2002,2.8344,-1,
2003,3.032,0.2,
2004,3.3826,0.35,
2005,4.1122,0.73,
2006,4.2824,0.17,
2007,4.8168,0.53,
2008,8.953,4.14,
2009,2.9362,-6.02,
2010,3.3548,0.42,
2011,4.8224,1.47,
2012,3.7253,-1.1,
2013,2.6211,-1.1,
2014,2.3463,-0.27,
2015,1.4343,-0.91,
2016,1.55,0.12,
2017,2.192,0.64,
2018,2.4387,0.25,
2019,2.1869,-0.25,
2020,1.921,-0.27,
2021,3.4236,1.5,
